geographic_zone,usable_recording_hours,blue_a_count,blue_b_count,fin_20hz_count,blue_a_detections_per_hour,blue_b_detections_per_hour,fin_20hz_detections_per_hour
Columbia River,483.2835382,1,9,1820,0.0020691786931632756,0.01862260823846948,3.7659052215571616
Oregon,536.19924665,4,669,4892,0.0074599135022861566,1.2476705332573597,9.12347421329597
Northern California,656.4907639666667,82,2295,6643,0.12490655543200231,3.495860301420065,10.118954240668188
Central California,955.54351245,438,5721,9683,0.4583778700741468,5.9871684810369725,10.133499808054712
Southern California,1399.1017351166668,828,7180,22491,0.5918082861436489,5.131864123806038,16.075314207314985
TOTAL,4030.6187963833336,1353,15874,45529,0.33568046703251725,3.9383530921464738,11.295784171118608
