"","drift","id","species","numClicks","medPeakFrq"
"242","CalCurCEAS_013","7518.241003024200.wav","",245,24.6
"243","CalCurCEAS_013","7518.241003024800.wav","",209,21.2
"262","CalCurCEAS_013","7518.241003044200.wav","",353,6.6
"366","CalCurCEAS_013","7518.241003151200.wav","",432,7.2
"367","CalCurCEAS_013","7518.241003151800.wav","",341,7.6
"368","CalCurCEAS_013","7518.241003152400.wav","",359,7.6
"369","CalCurCEAS_013","7518.241003153000.wav","",372,6
"370","CalCurCEAS_013","7518.241003153600.wav","",401,6.4
"371","CalCurCEAS_013","7518.241003154200.wav","",265,6
"374","CalCurCEAS_013","7518.241003160000.wav","",399,7.2
"375","CalCurCEAS_013","7518.241003160600.wav","",389,7.2
"376","CalCurCEAS_013","7518.241003161200.wav","",484,6.8
"377","CalCurCEAS_013","7518.241003161800.wav","",690,6.8
"378","CalCurCEAS_013","7518.241003162400.wav","",693,7.2
"379","CalCurCEAS_013","7518.241003163000.wav","",699,7.6
"380","CalCurCEAS_013","7518.241003163600.wav","",386,6.8
"383","CalCurCEAS_013","7518.241003165400.wav","",471,6.8
"384","CalCurCEAS_013","7518.241003170000.wav","",996,7.2
"385","CalCurCEAS_013","7518.241003170600.wav","",825,7.6
"386","CalCurCEAS_013","7518.241003171200.wav","",905,7.2
"387","CalCurCEAS_013","7518.241003171800.wav","",1210,7.6
"388","CalCurCEAS_013","7518.241003172400.wav","",1666,7.2
"389","CalCurCEAS_013","7518.241003173000.wav","",768,7.6
"390","CalCurCEAS_013","7518.241003173600.wav","",835,7.6
"391","CalCurCEAS_013","7518.241003174200.wav","",569,6.8
"394","CalCurCEAS_013","7518.241003180000.wav","",341,6.8
"405","CalCurCEAS_013","7518.241003190600.wav","",212,6
"407","CalCurCEAS_013","7518.241003191800.wav","",256,6.4
"492","CalCurCEAS_013","7518.241004034801.wav","",228,7.2
"493","CalCurCEAS_013","7518.241004035401.wav","",926,7.2
