"","drift","id","species","numClicks","medPeakFrq"
"151","CalCurCEAS_017","7518.241007055400.wav","",293,11.2
"167","CalCurCEAS_017","7518.241007073000.wav","",357,6
"168","CalCurCEAS_017","7518.241007073600.wav","",364,6
"374","CalCurCEAS_017","7518.241008042400.wav","",311,9.6
"404","CalCurCEAS_017","7518.241008073600.wav","",1804,6
"405","CalCurCEAS_017","7518.241008074200.wav","",356,6.4
"406","CalCurCEAS_017","7518.241008074800.wav","",242,6
"407","CalCurCEAS_017","7518.241008075400.wav","",656,6
"409","CalCurCEAS_017","7518.241008080600.wav","",605,6
"412","CalCurCEAS_017","7518.241008082400.wav","",827,6
"413","CalCurCEAS_017","7518.241008083000.wav","",430,6
"422","CalCurCEAS_017","7518.241008092400.wav","",292,6
"424","CalCurCEAS_017","7518.241008093600.wav","",873,6
"425","CalCurCEAS_017","7518.241008094200.wav","",631,6
"441","CalCurCEAS_017","7518.241008111800.wav","",263,6.4
"445","CalCurCEAS_017","7518.241008114200.wav","",236,10.4
"452","CalCurCEAS_017","7518.241008123000.wav","",1029,6
"453","CalCurCEAS_017","7518.241008123600.wav","",1953,6
"457","CalCurCEAS_017","7518.241008130000.wav","",280,6
"463","CalCurCEAS_017","7518.241008133600.wav","",235,6.4
"464","CalCurCEAS_017","7518.241008134200.wav","",959,6.4
"465","CalCurCEAS_017","7518.241008134800.wav","",1067,6
"466","CalCurCEAS_017","7518.241008135400.wav","",646,6
"467","CalCurCEAS_017","7518.241008140000.wav","",710,6
"468","CalCurCEAS_017","7518.241008140600.wav","",461,6
"472","CalCurCEAS_017","7518.241008143000.wav","",966,6
"473","CalCurCEAS_017","7518.241008143600.wav","",450,6.4
"623","CalCurCEAS_017","7518.241009060600.wav","",461,6
"627","CalCurCEAS_017","7518.241009063000.wav","",525,6
"661","CalCurCEAS_017","7518.241009095400.wav","",201,10.8
"662","CalCurCEAS_017","7518.241009100000.wav","",257,12.8
"663","CalCurCEAS_017","7518.241009100600.wav","",227,8.4
"816","CalCurCEAS_017","7518.241010012401.wav","",244,12.8
"911","CalCurCEAS_017","7518.241010105401.wav","",200,6
"1051","CalCurCEAS_017","7518.241011005401.wav","",393,8.2
"1052","CalCurCEAS_017","7518.241011010001.wav","",282,8.8
"1217","CalCurCEAS_017","7518.241011183601.wav","",228,9.2
"1350","CalCurCEAS_017","7518.241012081801.wav","",538,6
"1351","CalCurCEAS_017","7518.241012082401.wav","",314,6
"1405","CalCurCEAS_017","7518.241012134801.wav","",1841,6.4
"1406","CalCurCEAS_017","7518.241012135401.wav","",2311,6
