"","drift","id","species","numClicks","medPeakFrq"
"3","CalCurCEAS_002","6663.240820134200.wav","",651,6
"4","CalCurCEAS_002","6663.240820134800.wav","",578,6.4
"5","CalCurCEAS_002","6663.240820135400.wav","",518,6
"6","CalCurCEAS_002","6663.240820140000.wav","",318,6.4
"7","CalCurCEAS_002","6663.240820140600.wav","",247,6.4
"8","CalCurCEAS_002","6663.240820141200.wav","",330,6.8
"9","CalCurCEAS_002","6663.240820141800.wav","",583,6.8
"10","CalCurCEAS_002","6663.240820142400.wav","",810,7.2
"11","CalCurCEAS_002","6663.240820143000.wav","",682,7.2
"12","CalCurCEAS_002","6663.240820143600.wav","",714,6.4
"13","CalCurCEAS_002","6663.240820144200.wav","",318,6.8
"14","CalCurCEAS_002","6663.240820144800.wav","",648,7.2
"15","CalCurCEAS_002","6663.240820145400.wav","",1545,6
"16","CalCurCEAS_002","6663.240820150000.wav","",1703,6.4
"17","CalCurCEAS_002","6663.240820150600.wav","",2013,6.4
"18","CalCurCEAS_002","6663.240820151200.wav","",1355,6.8
"19","CalCurCEAS_002","6663.240820151800.wav","",637,7.2
"20","CalCurCEAS_002","6663.240820152400.wav","",423,6.4
"21","CalCurCEAS_002","6663.240820153000.wav","",1401,7.2
"22","CalCurCEAS_002","6663.240820153600.wav","",1881,7.2
"23","CalCurCEAS_002","6663.240820154200.wav","",1929,6.8
"24","CalCurCEAS_002","6663.240820154800.wav","",2207,6.8
"25","CalCurCEAS_002","6663.240820155400.wav","",1675,6.8
"26","CalCurCEAS_002","6663.240820160000.wav","",1672,6.8
"27","CalCurCEAS_002","6663.240820160600.wav","",1156,7.2
"28","CalCurCEAS_002","6663.240820161200.wav","",1553,7.2
"29","CalCurCEAS_002","6663.240820161800.wav","",1237,7.2
"30","CalCurCEAS_002","6663.240820162400.wav","",1312,6.8
"31","CalCurCEAS_002","6663.240820163000.wav","",1272,6.4
"32","CalCurCEAS_002","6663.240820163600.wav","",1497,6.8
"33","CalCurCEAS_002","6663.240820164200.wav","",1790,6.8
"34","CalCurCEAS_002","6663.240820164800.wav","",1521,6.8
"35","CalCurCEAS_002","6663.240820165400.wav","",1949,7.2
"36","CalCurCEAS_002","6663.240820170000.wav","",2047,6.8
"37","CalCurCEAS_002","6663.240820170600.wav","",2546,6.8
