"","drift","id","species","numClicks","medPeakFrq"
"1","CalCurCEAS_004","7518.240821035822.wav","",411,6.4
"65","CalCurCEAS_004","7518.240821102222.wav","",489,6
"66","CalCurCEAS_004","7518.240821102822.wav","",484,6
"69","CalCurCEAS_004","7518.240821104622.wav","",447,6
"73","CalCurCEAS_004","7518.240821111022.wav","",228,6.4
"86","CalCurCEAS_004","7518.240821122822.wav","",229,8.4
"126","CalCurCEAS_004","7518.240821162822.wav","",405,9.2
"127","CalCurCEAS_004","7518.240821163422.wav","",284,10.8
"248","CalCurCEAS_004","7518.240822044622.wav","",204,6.8
"249","CalCurCEAS_004","7518.240822045222.wav","",387,6
"250","CalCurCEAS_004","7518.240822045822.wav","",368,6.8
"254","CalCurCEAS_004","7518.240822052222.wav","",367,6.8
"255","CalCurCEAS_004","7518.240822052822.wav","",415,6
"256","CalCurCEAS_004","7518.240822053422.wav","",494,6.4
"257","CalCurCEAS_004","7518.240822054022.wav","",350,6.8
"259","CalCurCEAS_004","7518.240822055222.wav","",244,6.8
"260","CalCurCEAS_004","7518.240822055822.wav","",836,6.4
"264","CalCurCEAS_004","7518.240822062222.wav","",526,6.8
"265","CalCurCEAS_004","7518.240822062822.wav","",776,6.8
"266","CalCurCEAS_004","7518.240822063422.wav","",671,7.2
"267","CalCurCEAS_004","7518.240822064022.wav","",700,6.8
"268","CalCurCEAS_004","7518.240822064622.wav","",807,7.2
"269","CalCurCEAS_004","7518.240822065222.wav","",890,8
"270","CalCurCEAS_004","7518.240822065822.wav","",650,8
"273","CalCurCEAS_004","7518.240822071622.wav","",637,7.2
"274","CalCurCEAS_004","7518.240822072222.wav","",714,6.4
"275","CalCurCEAS_004","7518.240822072822.wav","",597,6
"277","CalCurCEAS_004","7518.240822074022.wav","",591,7.6
"278","CalCurCEAS_004","7518.240822074622.wav","",857,6
"279","CalCurCEAS_004","7518.240822075222.wav","",1200,6.4
"280","CalCurCEAS_004","7518.240822075822.wav","",389,6.8
"283","CalCurCEAS_004","7518.240822081622.wav","",1262,6
"284","CalCurCEAS_004","7518.240822082222.wav","",872,6.4
"285","CalCurCEAS_004","7518.240822082822.wav","",1098,6.8
"286","CalCurCEAS_004","7518.240822083422.wav","",985,7.2
"287","CalCurCEAS_004","7518.240822084022.wav","",767,7.6
"288","CalCurCEAS_004","7518.240822084622.wav","",786,7.6
"289","CalCurCEAS_004","7518.240822085222.wav","",1197,7.2
"290","CalCurCEAS_004","7518.240822085822.wav","",904,8.8
"291","CalCurCEAS_004","7518.240822090422.wav","",229,6
"293","CalCurCEAS_004","7518.240822091622.wav","",478,6.8
"294","CalCurCEAS_004","7518.240822092222.wav","",1035,7.6
"295","CalCurCEAS_004","7518.240822092822.wav","",1116,6.8
"296","CalCurCEAS_004","7518.240822093422.wav","",1151,7.6
"297","CalCurCEAS_004","7518.240822094022.wav","",991,8
"298","CalCurCEAS_004","7518.240822094622.wav","",958,8.4
"299","CalCurCEAS_004","7518.240822095222.wav","",1126,8
"300","CalCurCEAS_004","7518.240822095822.wav","",1009,8.4
"301","CalCurCEAS_004","7518.240822100422.wav","",1513,7.6
"304","CalCurCEAS_004","7518.240822102222.wav","",260,6.4
"305","CalCurCEAS_004","7518.240822102822.wav","",1075,8.8
"306","CalCurCEAS_004","7518.240822103422.wav","",1020,8.4
"307","CalCurCEAS_004","7518.240822104022.wav","",1060,8.4
"308","CalCurCEAS_004","7518.240822104622.wav","",964,8.2
"309","CalCurCEAS_004","7518.240822105222.wav","",959,9.2
"310","CalCurCEAS_004","7518.240822105822.wav","",946,9.6
"311","CalCurCEAS_004","7518.240822110422.wav","",931,9.6
"312","CalCurCEAS_004","7518.240822111022.wav","",1018,8.8
"315","CalCurCEAS_004","7518.240822112822.wav","",982,7.6
"316","CalCurCEAS_004","7518.240822113422.wav","",1063,9.2
"317","CalCurCEAS_004","7518.240822114022.wav","",918,8.4
"318","CalCurCEAS_004","7518.240822114622.wav","",510,6.4
"319","CalCurCEAS_004","7518.240822115222.wav","",1063,8.4
"320","CalCurCEAS_004","7518.240822115822.wav","",1108,7.2
"321","CalCurCEAS_004","7518.240822120422.wav","",1075,6.8
"322","CalCurCEAS_004","7518.240822121022.wav","",1110,8.4
"328","CalCurCEAS_004","7518.240822124622.wav","",794,6.8
"329","CalCurCEAS_004","7518.240822125222.wav","",1155,7.6
"330","CalCurCEAS_004","7518.240822125822.wav","",918,8.4
"331","CalCurCEAS_004","7518.240822130422.wav","",943,8
"332","CalCurCEAS_004","7518.240822131022.wav","",1306,7.6
"333","CalCurCEAS_004","7518.240822131622.wav","",1367,8
"334","CalCurCEAS_004","7518.240822132222.wav","",1123,8
"335","CalCurCEAS_004","7518.240822132822.wav","",1720,7.2
"336","CalCurCEAS_004","7518.240822133422.wav","",1336,7.6
"339","CalCurCEAS_004","7518.240822135222.wav","",1334,7.2
"340","CalCurCEAS_004","7518.240822135822.wav","",952,7.6
"341","CalCurCEAS_004","7518.240822140422.wav","",988,6.8
"342","CalCurCEAS_004","7518.240822141022.wav","",970,7.2
"343","CalCurCEAS_004","7518.240822141622.wav","",844,7.2
"344","CalCurCEAS_004","7518.240822142222.wav","",874,7.2
"345","CalCurCEAS_004","7518.240822142822.wav","",930,7.6
