deployment,call_type,original_detections,reviewed_truth_calls,true_positive,false_positive,false_negative,precision,recall,f1_score
CalCurCEAS_022,Sei DS,53,84,50,3,34,0.943,0.595,0.73
CalCurCEAS_023,Blue A,38,38,38,0,0,1,1,1
CalCurCEAS_023,Blue B,405,644,397,8,247,0.98,0.616,0.757
CalCurCEAS_023,Blue D,12,20,10,2,10,0.833,0.5,0.625
CalCurCEAS_023,Fin 20 Hz,231,375,229,2,146,0.991,0.611,0.756
CalCurCEAS_023,Fin 40 Hz,0,0,0,0,0,,,
CalCurCEAS_023,Sei DS,16,45,15,1,30,0.938,0.333,0.492
CalCurCEAS_024,Blue A,20,19,19,1,0,0.95,1,0.974
CalCurCEAS_024,Blue B,319,467,319,0,148,1,0.683,0.812
CalCurCEAS_024,Blue D,7,8,7,0,1,1,0.875,0.933
CalCurCEAS_024,Fin 20 Hz,1101,1663,1098,3,565,0.997,0.66,0.795
CalCurCEAS_024,Fin 40 Hz,1,22,0,1,22,0,0,
CalCurCEAS_024,Sei DS,19,29,15,4,14,0.789,0.517,0.625
CalCurCEAS_025,Blue A,90,96,90,0,6,1,0.938,0.968
CalCurCEAS_025,Blue B,409,748,409,0,339,1,0.547,0.707
CalCurCEAS_025,Blue D,3,2,2,1,0,0.667,1,0.8
CalCurCEAS_025,Fin 20 Hz,2898,3436,2879,19,557,0.993,0.838,0.909
CalCurCEAS_025,Fin 40 Hz,8,67,5,3,62,0.625,0.075,0.133
CalCurCEAS_025,Sei DS,86,167,81,5,86,0.942,0.485,0.64
CalCurCEAS_026,Blue A,2,2,2,0,0,1,1,1
CalCurCEAS_026,Blue B,191,240,189,2,51,0.99,0.787,0.877
CalCurCEAS_026,Blue D,4,7,4,0,3,1,0.571,0.727
CalCurCEAS_026,Fin 20 Hz,138,180,137,1,43,0.993,0.761,0.862
CalCurCEAS_026,Fin 40 Hz,0,0,0,0,0,,,
CalCurCEAS_026,Sei DS,72,150,71,1,79,0.986,0.473,0.64
CalCurCEAS_027,Blue A,13,14,13,0,1,1,0.929,0.963
CalCurCEAS_027,Blue B,202,326,201,1,125,0.995,0.617,0.761
CalCurCEAS_027,Blue D,1,6,1,0,5,1,0.167,0.286
CalCurCEAS_027,Fin 20 Hz,164,219,163,1,56,0.994,0.744,0.851
CalCurCEAS_027,Fin 40 Hz,0,0,0,0,0,,,
CalCurCEAS_027,Sei DS,36,74,35,1,39,0.972,0.473,0.636
