call_metric,geographic_zone,activity_category,high_call_threshold,category_hours,environmental_variable,units,n_available,median,q25,q75
Blue A/B,Central California,low_call,9,483,npp_lag_90d,mg_C_m-2_d-1,44,678.0702515,592.0376587,690.6339722
Blue A/B,Central California,low_call,9,483,npp_lag_120d,mg_C_m-2_d-1,112,733.5574341,555.6504517,869.51620485
Blue A/B,Central California,no_call,9,215,gebco_bathymetry_m,m,215,-4169,-4280,-3487
Blue A/B,Central California,no_call,9,215,sst_c,deg_C,215,16.23,15.5475,16.36
Blue A/B,Central California,no_call,9,215,chlorophyll_a,mg_m-3,133,0.405023992,0.244808227,0.498987436
Blue A/B,Central California,no_call,9,215,phytoplankton_carbon,mg_m-3,133,18.99382019,16.26378632,21.41898727
Blue A/B,Central California,no_call,9,215,poc,mg_m-3,133,100.7998047,68.19995117,117.199707
Blue A/B,Central California,no_call,9,215,npp_concurrent,mg_C_m-2_d-1,130,526.9759216,469.2242432,647.2494507
Blue A/B,Central California,no_call,9,215,npp_lag_30d,mg_C_m-2_d-1,128,493.2564392,450.12431337499993,547.1566315
Blue A/B,Central California,no_call,9,215,npp_lag_60d,mg_C_m-2_d-1,38,680.5088806,675.9278717000001,685.1824951
Blue A/B,Central California,no_call,9,215,npp_lag_90d,mg_C_m-2_d-1,27,690.6339722,636.8848877,870.97869885
Blue A/B,Central California,no_call,9,215,npp_lag_120d,mg_C_m-2_d-1,57,617.380249,579.3591919,806.0298462
Blue A/B,Southern California,high_call,8,381,gebco_bathymetry_m,m,381,-3695,-3994,-3551
Blue A/B,Southern California,high_call,8,381,sst_c,deg_C,381,15.551,15.128,16.209
Blue A/B,Southern California,high_call,8,381,chlorophyll_a,mg_m-3,174,0.405519992,0.363122553,0.442088008
Blue A/B,Southern California,high_call,8,381,phytoplankton_carbon,mg_m-3,174,18.12174797,17.62073517,21.5425519925
Blue A/B,Southern California,high_call,8,381,poc,mg_m-3,174,100.99975585,94,107.6000977
Blue A/B,Southern California,high_call,8,381,npp_concurrent,mg_C_m-2_d-1,163,549.3463745,470.6891785,624.2747192
Blue A/B,Southern California,high_call,8,381,npp_lag_30d,mg_C_m-2_d-1,218,587.7636108,493.2564392,750.2456055
Blue A/B,Southern California,high_call,8,381,npp_lag_60d,mg_C_m-2_d-1,101,847.5523071,702.3421631,923.7832642
Blue A/B,Southern California,high_call,8,381,npp_lag_90d,mg_C_m-2_d-1,104,807.8183289000001,674.1419678,976.0809326
Blue A/B,Southern California,high_call,8,381,npp_lag_120d,mg_C_m-2_d-1,44,898.5310669,606.2071228,996.5338135
Blue A/B,Southern California,low_call,8,601,gebco_bathymetry_m,m,601,-3808,-4048,-3558
Blue A/B,Southern California,low_call,8,601,sst_c,deg_C,601,15.694,15.245,16.223
Blue A/B,Southern California,low_call,8,601,chlorophyll_a,mg_m-3,270,0.390428752,0.31529583775000003,0.442088008
Blue A/B,Southern California,low_call,8,601,phytoplankton_carbon,mg_m-3,270,19.255812645,16.66526604,22.341170312499997
Blue A/B,Southern California,low_call,8,601,poc,mg_m-3,270,99.79980469,86.42486572499999,107.6000977
Blue A/B,Southern California,low_call,8,601,npp_concurrent,mg_C_m-2_d-1,259,531.3897095,452.1691284,668.9337769
Blue A/B,Southern California,low_call,8,601,npp_lag_30d,mg_C_m-2_d-1,299,572.8378906,464.6277161,705.57717895
