"","drift","id","species","numClicks","medPeakFrq"
"84","CalCurCEAS_020","7936.241026234201.wav","",356,11.2
"85","CalCurCEAS_020","7936.241026234801.wav","",244,10.6
"172","CalCurCEAS_020","7936.241027083601.wav","",568,6
"174","CalCurCEAS_020","7936.241027084801.wav","",200,6
"175","CalCurCEAS_020","7936.241027085401.wav","",292,6
"176","CalCurCEAS_020","7936.241027090001.wav","",651,6
"178","CalCurCEAS_020","7936.241027091201.wav","",205,6
"179","CalCurCEAS_020","7936.241027091801.wav","",599,6
"180","CalCurCEAS_020","7936.241027092401.wav","",251,9.2
"181","CalCurCEAS_020","7936.241027093001.wav","",316,7.6
"182","CalCurCEAS_020","7936.241027093601.wav","",344,7.6
"184","CalCurCEAS_020","7936.241027094801.wav","",419,6
"198","CalCurCEAS_020","7936.241027111201.wav","",1069,6
"201","CalCurCEAS_020","7936.241027113001.wav","",315,6
"205","CalCurCEAS_020","7936.241027115401.wav","",267,6
"207","CalCurCEAS_020","7936.241027120601.wav","",377,6
"208","CalCurCEAS_020","7936.241027121201.wav","",473,6
"209","CalCurCEAS_020","7936.241027121801.wav","",522,6
"210","CalCurCEAS_020","7936.241027122401.wav","",344,6.4
"214","CalCurCEAS_020","7936.241027124801.wav","",394,6
"215","CalCurCEAS_020","7936.241027125401.wav","",357,6
"246","CalCurCEAS_020","7936.241027161201.wav","",205,7.6
"247","CalCurCEAS_020","7936.241027161801.wav","",222,8
"277","CalCurCEAS_020","7936.241027192401.wav","",485,8.8
"382","CalCurCEAS_020","7936.241028055401.wav","",363,6
"404","CalCurCEAS_020","7936.241028080601.wav","",241,6.4
"405","CalCurCEAS_020","7936.241028081201.wav","",365,6.4
"406","CalCurCEAS_020","7936.241028081801.wav","",1162,6.4
"407","CalCurCEAS_020","7936.241028082401.wav","",604,6
"415","CalCurCEAS_020","7936.241028091201.wav","",274,6
"418","CalCurCEAS_020","7936.241028093001.wav","",507,6
"419","CalCurCEAS_020","7936.241028093601.wav","",264,6
