"","drift","id","species","numClicks","medPeakFrq"
"1","CalCurCEAS_001","7951.240817190000.wav","",4139,6
"8","CalCurCEAS_001","7951.240817194200.wav","",960,6
"9","CalCurCEAS_001","7951.240817194800.wav","",896,6
"10","CalCurCEAS_001","7951.240817195400.wav","",956,6
"11","CalCurCEAS_001","7951.240817200000.wav","",716,6.4
"12","CalCurCEAS_001","7951.240817200600.wav","",458,6.8
"13","CalCurCEAS_001","7951.240817201200.wav","",394,7.2
"14","CalCurCEAS_001","7951.240817201800.wav","",427,7.2
"15","CalCurCEAS_001","7951.240817202400.wav","",431,7.6
"17","CalCurCEAS_001","7951.240817203600.wav","",216,6.8
"19","CalCurCEAS_001","7951.240817204800.wav","",1034,6.8
"20","CalCurCEAS_001","7951.240817205400.wav","",1004,7.6
"21","CalCurCEAS_001","7951.240817210000.wav","",953,7.2
"22","CalCurCEAS_001","7951.240817210600.wav","",769,7.2
"23","CalCurCEAS_001","7951.240817211200.wav","",994,7.6
"24","CalCurCEAS_001","7951.240817211800.wav","",1012,8
"25","CalCurCEAS_001","7951.240817212400.wav","",990,7.6
"26","CalCurCEAS_001","7951.240817213000.wav","",809,7.2
"27","CalCurCEAS_001","7951.240817213600.wav","",853,7.6
"28","CalCurCEAS_001","7951.240817214200.wav","",1078,7.6
"29","CalCurCEAS_001","7951.240817214800.wav","",1417,6.8
"30","CalCurCEAS_001","7951.240817215400.wav","",235,6.8
"31","CalCurCEAS_001","7951.240817220000.wav","",286,6.8
"32","CalCurCEAS_001","7951.240817220600.wav","",714,6
"33","CalCurCEAS_001","7951.240817221200.wav","",1594,7.2
"34","CalCurCEAS_001","7951.240817221800.wav","",1206,8
"35","CalCurCEAS_001","7951.240817222400.wav","",1978,8
"36","CalCurCEAS_001","7951.240817223000.wav","",978,8
"37","CalCurCEAS_001","7951.240817223600.wav","",1232,7.6
"38","CalCurCEAS_001","7951.240817224200.wav","",1017,8
"39","CalCurCEAS_001","7951.240817224800.wav","",1087,8
"40","CalCurCEAS_001","7951.240817225400.wav","",1163,7.6
"41","CalCurCEAS_001","7951.240817230000.wav","",1380,7.6
"42","CalCurCEAS_001","7951.240817230600.wav","",1780,7.2
"43","CalCurCEAS_001","7951.240817231200.wav","",1647,7.2
"44","CalCurCEAS_001","7951.240817231800.wav","",578,6
"45","CalCurCEAS_001","7951.240817232400.wav","",522,6.4
"46","CalCurCEAS_001","7951.240817233000.wav","",365,6.8
"47","CalCurCEAS_001","7951.240817233600.wav","",891,6.4
"48","CalCurCEAS_001","7951.240817234200.wav","",767,7.2
"49","CalCurCEAS_001","7951.240817234800.wav","",670,7.6
"50","CalCurCEAS_001","7951.240817235400.wav","",953,6.8
"51","CalCurCEAS_001","7951.240818000000.wav","",973,7.2
"52","CalCurCEAS_001","7951.240818000600.wav","",1240,7.2
"53","CalCurCEAS_001","7951.240818001200.wav","",974,7.2
"54","CalCurCEAS_001","7951.240818001800.wav","",1067,6.4
"55","CalCurCEAS_001","7951.240818002400.wav","",1316,6.4
"56","CalCurCEAS_001","7951.240818003000.wav","",1138,6
"57","CalCurCEAS_001","7951.240818003600.wav","",1093,6
"58","CalCurCEAS_001","7951.240818004200.wav","",578,6
"61","CalCurCEAS_001","7951.240818010000.wav","",672,6.4
