"","drift","id","species","numClicks","medPeakFrq"
"239","CalCurCEAS_014","7519.241003024800.wav","",295,20.8
"240","CalCurCEAS_014","7519.241003025400.wav","",495,37.2
"241","CalCurCEAS_014","7519.241003030000.wav","",557,21.8
"242","CalCurCEAS_014","7519.241003030600.wav","",529,21.6
"243","CalCurCEAS_014","7519.241003031200.wav","",221,25.6
"381","CalCurCEAS_014","7519.241003170000.wav","",249,6.8
"511","CalCurCEAS_014","7519.241004060000.wav","",970,6
"712","CalCurCEAS_014","7519.241005020601.wav","",4299,7.2
