"","drift","id","species","numClicks","medPeakFrq"
"2","CalCurCEAS_027","7950.241123160602.wav","",3443,6.4
"3","CalCurCEAS_027","7950.241123161202.wav","",1990,6
"6","CalCurCEAS_027","7950.241123163002.wav","",233,8.8
"18","CalCurCEAS_027","7950.241123174202.wav","",248,6.4
"20","CalCurCEAS_027","7950.241123175402.wav","",250,6.4
"21","CalCurCEAS_027","7950.241123180002.wav","",210,6
"28","CalCurCEAS_027","7950.241123184202.wav","",241,6.8
"29","CalCurCEAS_027","7950.241123184802.wav","",242,6.4
"30","CalCurCEAS_027","7950.241123185402.wav","",277,6.8
"31","CalCurCEAS_027","7950.241123190002.wav","",492,6.8
"32","CalCurCEAS_027","7950.241123190602.wav","",557,7.2
"33","CalCurCEAS_027","7950.241123191202.wav","",546,6.8
"34","CalCurCEAS_027","7950.241123191802.wav","",432,7.2
"35","CalCurCEAS_027","7950.241123192402.wav","",924,6.4
"40","CalCurCEAS_027","7950.241123195402.wav","",532,8.8
"41","CalCurCEAS_027","7950.241123200002.wav","",369,8.8
"42","CalCurCEAS_027","7950.241123200602.wav","",314,8.8
"43","CalCurCEAS_027","7950.241123201202.wav","",310,8
"44","CalCurCEAS_027","7950.241123201802.wav","",336,8
"45","CalCurCEAS_027","7950.241123202402.wav","",279,8
"47","CalCurCEAS_027","7950.241123203602.wav","",229,6.8
"52","CalCurCEAS_027","7950.241123210602.wav","",201,7.6
"403","CalCurCEAS_027","7950.241125093002.wav","",855,11.6
"404","CalCurCEAS_027","7950.241125093602.wav","",340,11.2
"629","CalCurCEAS_027","7950.241126080603.wav","",937,12.8
"630","CalCurCEAS_027","7950.241126081203.wav","",982,8
"631","CalCurCEAS_027","7950.241126081803.wav","",1559,8.8
"632","CalCurCEAS_027","7950.241126082403.wav","",800,10.8
"633","CalCurCEAS_027","7950.241126083003.wav","",563,7.6
"654","CalCurCEAS_027","7950.241126103603.wav","",224,6
"666","CalCurCEAS_027","7950.241126114803.wav","",457,6
"822","CalCurCEAS_027","7950.241127032403.wav","",297,6
"837","CalCurCEAS_027","7950.241127045403.wav","",520,6
"838","CalCurCEAS_027","7950.241127050003.wav","",386,6
"852","CalCurCEAS_027","7950.241127062403.wav","",311,6
"853","CalCurCEAS_027","7950.241127063003.wav","",414,6
"855","CalCurCEAS_027","7950.241127064203.wav","",229,6
"857","CalCurCEAS_027","7950.241127065403.wav","",491,6
"860","CalCurCEAS_027","7950.241127071203.wav","",370,6
"872","CalCurCEAS_027","7950.241127082403.wav","",570,6
"873","CalCurCEAS_027","7950.241127083003.wav","",619,6
"875","CalCurCEAS_027","7950.241127084203.wav","",532,6
"876","CalCurCEAS_027","7950.241127084803.wav","",369,6
"877","CalCurCEAS_027","7950.241127085403.wav","",276,6
"882","CalCurCEAS_027","7950.241127092403.wav","",223,6.4
"883","CalCurCEAS_027","7950.241127093003.wav","",206,6.4
"895","CalCurCEAS_027","7950.241127104203.wav","",328,6
"896","CalCurCEAS_027","7950.241127104803.wav","",472,6
"1106","CalCurCEAS_027","7950.241128074803.wav","",1001,6
"1119","CalCurCEAS_027","7950.241128090603.wav","",398,6
"1261","CalCurCEAS_027","7950.241128231701.wav","",232,11.6
"1331","CalCurCEAS_027","7950.241129061702.wav","",217,9.6
"1338","CalCurCEAS_027","7950.241129065902.wav","",208,6
"1340","CalCurCEAS_027","7950.241129071102.wav","",315,6
"1394","CalCurCEAS_027","7950.241129124102.wav","",204,6.4
"1395","CalCurCEAS_027","7950.241129124702.wav","",590,6
"1396","CalCurCEAS_027","7950.241129125302.wav","",323,6
"1400","CalCurCEAS_027","7950.241129131702.wav","",398,6.4
"1401","CalCurCEAS_027","7950.241129132302.wav","",369,6
"1402","CalCurCEAS_027","7950.241129132902.wav","",678,6
"1518","CalCurCEAS_027","7950.241130011102.wav","",223,12.4
"1559","CalCurCEAS_027","7950.241130051702.wav","",405,7.2
"1563","CalCurCEAS_027","7950.241130054102.wav","",207,12.8
"1564","CalCurCEAS_027","7950.241130054702.wav","",378,8
"1565","CalCurCEAS_027","7950.241130055302.wav","",505,7.2
"1617","CalCurCEAS_027","7950.241130110502.wav","",306,6
"1620","CalCurCEAS_027","7950.241130112302.wav","",355,6
"1625","CalCurCEAS_027","7950.241130115302.wav","",630,6
"1723","CalCurCEAS_027","7950.241130231702.wav","",805,7.6
"1724","CalCurCEAS_027","7950.241130232302.wav","",652,7.6
"1725","CalCurCEAS_027","7950.241130232902.wav","",594,6.8
"1726","CalCurCEAS_027","7950.241130233502.wav","",1724,8
"1727","CalCurCEAS_027","7950.241130234102.wav","",2017,7.6
"1729","CalCurCEAS_027","7950.241130235302.wav","",3041,7.2
"1730","CalCurCEAS_027","7950.241130235902.wav","",3051,8
"1732","CalCurCEAS_027","7950.241201001102.wav","",3254,7.6
"1818","CalCurCEAS_027","7950.241201130502.wav","",213,8.8
"2019","CalCurCEAS_027","7950.241202131102.wav","",202,8.8
"2157","CalCurCEAS_027","7950.241203060503.wav","",459,6
