"","drift","id","species","numClicks","medPeakFrq"
"2","CalCurCEAS_006","7936.240823005400.wav","",1149,6.4
"55","CalCurCEAS_006","7936.240823061200.wav","",342,6
"293","CalCurCEAS_006","7936.240824060000.wav","",554,6
"294","CalCurCEAS_006","7936.240824060600.wav","",513,6.8
"298","CalCurCEAS_006","7936.240824063000.wav","",336,6
"301","CalCurCEAS_006","7936.240824064800.wav","",768,6
"327","CalCurCEAS_006","7936.240824092400.wav","",245,19.4
"328","CalCurCEAS_006","7936.240824093000.wav","",318,7.8
"338","CalCurCEAS_006","7936.240824103000.wav","",207,6
"365","CalCurCEAS_006","7936.240824131200.wav","",637,6
"366","CalCurCEAS_006","7936.240824131800.wav","",1321,6.4
"367","CalCurCEAS_006","7936.240824132400.wav","",751,6.8
"368","CalCurCEAS_006","7936.240824133000.wav","",636,6.8
"369","CalCurCEAS_006","7936.240824133600.wav","",518,6.4
"375","CalCurCEAS_006","7936.240824141200.wav","",606,6
"378","CalCurCEAS_006","7936.240824143000.wav","",249,6
"379","CalCurCEAS_006","7936.240824143600.wav","",391,6
"380","CalCurCEAS_006","7936.240824144200.wav","",386,6.2
"385","CalCurCEAS_006","7936.240824151200.wav","",231,6.8
"386","CalCurCEAS_006","7936.240824151800.wav","",212,6
"388","CalCurCEAS_006","7936.240824153000.wav","",209,7.2
"389","CalCurCEAS_006","7936.240824153600.wav","",225,6.8
"390","CalCurCEAS_006","7936.240824154200.wav","",339,6.8
"391","CalCurCEAS_006","7936.240824154800.wav","",336,6.8
"395","CalCurCEAS_006","7936.240824161200.wav","",208,10
"398","CalCurCEAS_006","7936.240824163000.wav","",270,6.4
"484","CalCurCEAS_006","7936.240825010600.wav","",275,10.2
"506","CalCurCEAS_006","7936.240825031800.wav","",312,10.8
"507","CalCurCEAS_006","7936.240825032400.wav","",322,7.2
"508","CalCurCEAS_006","7936.240825033000.wav","",269,8.8
"512","CalCurCEAS_006","7936.240825035400.wav","",586,6
"536","CalCurCEAS_006","7936.240825061800.wav","",241,6
"538","CalCurCEAS_006","7936.240825063000.wav","",339,6
"555","CalCurCEAS_006","7936.240825081800.wav","",407,6
"558","CalCurCEAS_006","7936.240825083600.wav","",391,6
"562","CalCurCEAS_006","7936.240825090000.wav","",326,6
"566","CalCurCEAS_006","7936.240825092400.wav","",489,6
"631","CalCurCEAS_006","7936.240825155401.wav","",260,14.6
"632","CalCurCEAS_006","7936.240825160001.wav","",222,13.6
"633","CalCurCEAS_006","7936.240825160601.wav","",318,12.4
"634","CalCurCEAS_006","7936.240825161201.wav","",290,11.2
"635","CalCurCEAS_006","7936.240825161801.wav","",273,11.6
"636","CalCurCEAS_006","7936.240825162401.wav","",332,8
"637","CalCurCEAS_006","7936.240825163001.wav","",243,6.4
"779","CalCurCEAS_006","7936.240826064201.wav","",730,6
"801","CalCurCEAS_006","7936.240826085401.wav","",972,6
"802","CalCurCEAS_006","7936.240826090001.wav","",213,6
"819","CalCurCEAS_006","7936.240826104801.wav","",213,6
"820","CalCurCEAS_006","7936.240826105401.wav","",545,6
"823","CalCurCEAS_006","7936.240826111201.wav","",889,6
"824","CalCurCEAS_006","7936.240826111801.wav","",1238,6
"825","CalCurCEAS_006","7936.240826112401.wav","",1262,6
"826","CalCurCEAS_006","7936.240826113001.wav","",1129,6
"827","CalCurCEAS_006","7936.240826113601.wav","",1248,6
"828","CalCurCEAS_006","7936.240826114201.wav","",1266,6
"829","CalCurCEAS_006","7936.240826114801.wav","",1082,6
"843","CalCurCEAS_006","7936.240826131201.wav","",1156,6
"845","CalCurCEAS_006","7936.240826132401.wav","",1194,6
"846","CalCurCEAS_006","7936.240826133001.wav","",1132,6.4
"847","CalCurCEAS_006","7936.240826133601.wav","",609,6.8
"848","CalCurCEAS_006","7936.240826134201.wav","",721,7.2
"849","CalCurCEAS_006","7936.240826134801.wav","",493,8
"850","CalCurCEAS_006","7936.240826135401.wav","",476,8.8
"851","CalCurCEAS_006","7936.240826140001.wav","",827,8.4
"852","CalCurCEAS_006","7936.240826140601.wav","",804,6.8
"853","CalCurCEAS_006","7936.240826141201.wav","",675,7
"854","CalCurCEAS_006","7936.240826141801.wav","",710,7.6
"855","CalCurCEAS_006","7936.240826142401.wav","",369,6
"858","CalCurCEAS_006","7936.240826144201.wav","",940,6
"859","CalCurCEAS_006","7936.240826144801.wav","",902,6.4
"860","CalCurCEAS_006","7936.240826145401.wav","",1030,6.4
"861","CalCurCEAS_006","7936.240826150001.wav","",974,7.2
"862","CalCurCEAS_006","7936.240826150601.wav","",906,6.4
"863","CalCurCEAS_006","7936.240826151201.wav","",930,6.4
"864","CalCurCEAS_006","7936.240826151801.wav","",863,6
"865","CalCurCEAS_006","7936.240826152401.wav","",894,6
"867","CalCurCEAS_006","7936.240826153601.wav","",851,6
"868","CalCurCEAS_006","7936.240826154201.wav","",618,6
"879","CalCurCEAS_006","7936.240826164801.wav","",567,6
