"","drift","id","species","numClicks","keep"
"1593","CalCurCEAS_022","7518.241104100602.wav","",316,FALSE
"1594","CalCurCEAS_022","7518.241104101202.wav","",316,FALSE
"1595","CalCurCEAS_022","7518.241104101802.wav","",297,FALSE
"1596","CalCurCEAS_022","7518.241104102402.wav","",406,FALSE
"1597","CalCurCEAS_022","7518.241104103002.wav","",248,FALSE
"1598","CalCurCEAS_022","7518.241104103602.wav","",305,FALSE
"1599","CalCurCEAS_022","7518.241104104202.wav","",464,FALSE
"1600","CalCurCEAS_022","7518.241104104802.wav","",583,FALSE
"1601","CalCurCEAS_022","7518.241104105402.wav","",447,FALSE
"1602","CalCurCEAS_022","7518.241104110002.wav","",628,FALSE
"1603","CalCurCEAS_022","7518.241104110602.wav","",576,FALSE
"1604","CalCurCEAS_022","7518.241104111202.wav","",539,FALSE
"1605","CalCurCEAS_022","7518.241104111802.wav","",274,FALSE
"1606","CalCurCEAS_022","7518.241104112402.wav","",598,FALSE
"1607","CalCurCEAS_022","7518.241104113002.wav","",393,FALSE
"1608","CalCurCEAS_022","7518.241104113602.wav","",436,FALSE
"1613","CalCurCEAS_022","7518.241104120602.wav","",322,FALSE
"1665","CalCurCEAS_022","7518.241104171803.wav","",686,FALSE
"1666","CalCurCEAS_022","7518.241104172403.wav","",581,FALSE
"1682","CalCurCEAS_022","7518.241104190003.wav","",303,FALSE
"1683","CalCurCEAS_022","7518.241104190603.wav","",200,FALSE
"1684","CalCurCEAS_022","7518.241104191203.wav","",388,FALSE
"1685","CalCurCEAS_022","7518.241104191803.wav","",262,FALSE
"1686","CalCurCEAS_022","7518.241104192403.wav","",222,FALSE
"1687","CalCurCEAS_022","7518.241104193003.wav","",286,FALSE
"1688","CalCurCEAS_022","7518.241104193603.wav","",452,FALSE
"1689","CalCurCEAS_022","7518.241104194203.wav","",469,FALSE
"1690","CalCurCEAS_022","7518.241104194803.wav","",644,FALSE
"1691","CalCurCEAS_022","7518.241104195403.wav","",1311,FALSE
"1692","CalCurCEAS_022","7518.241104200003.wav","",1281,FALSE
"1693","CalCurCEAS_022","7518.241104200603.wav","",217,FALSE
"1694","CalCurCEAS_022","7518.241104201203.wav","",904,FALSE
"1695","CalCurCEAS_022","7518.241104201803.wav","",710,FALSE
"1696","CalCurCEAS_022","7518.241104202403.wav","",1691,FALSE
"1697","CalCurCEAS_022","7518.241104203003.wav","",2317,FALSE
"1698","CalCurCEAS_022","7518.241104203603.wav","",3599,FALSE
"1699","CalCurCEAS_022","7518.241104204203.wav","",3779,FALSE
"1700","CalCurCEAS_022","7518.241104204803.wav","",3933,FALSE
"1701","CalCurCEAS_022","7518.241104205403.wav","",2774,FALSE
"1702","CalCurCEAS_022","7518.241104210003.wav","",2832,FALSE
"1703","CalCurCEAS_022","7518.241104210603.wav","",3003,FALSE
"1704","CalCurCEAS_022","7518.241104211203.wav","",4353,FALSE
"1705","CalCurCEAS_022","7518.241104211803.wav","",5972,FALSE
"1706","CalCurCEAS_022","7518.241104212403.wav","",6232,FALSE
"1707","CalCurCEAS_022","7518.241104213003.wav","",7263,FALSE
"1708","CalCurCEAS_022","7518.241104213603.wav","",7841,FALSE
"1709","CalCurCEAS_022","7518.241104214203.wav","",6971,FALSE
"1710","CalCurCEAS_022","7518.241104214803.wav","",7395,FALSE
"1711","CalCurCEAS_022","7518.241104215403.wav","",7039,FALSE
"1712","CalCurCEAS_022","7518.241104220003.wav","",7895,FALSE
"1713","CalCurCEAS_022","7518.241104220603.wav","",8291,FALSE
"1714","CalCurCEAS_022","7518.241104221203.wav","",7257,FALSE
"1715","CalCurCEAS_022","7518.241104221803.wav","",5519,FALSE
"1716","CalCurCEAS_022","7518.241104222403.wav","",2925,FALSE
"1717","CalCurCEAS_022","7518.241104223003.wav","",1908,FALSE
"1718","CalCurCEAS_022","7518.241104223603.wav","",1839,FALSE
"1719","CalCurCEAS_022","7518.241104224203.wav","",3604,FALSE
"1720","CalCurCEAS_022","7518.241104224803.wav","",2225,FALSE
"1721","CalCurCEAS_022","7518.241104225403.wav","",2952,FALSE
"1722","CalCurCEAS_022","7518.241104230003.wav","",5364,FALSE
"1723","CalCurCEAS_022","7518.241104230603.wav","",6777,FALSE
