"","drift","id","species","numClicks","medPeakFrq"
"1","CalCurCEAS_022","7518.241028000000.wav","",2148,6
"2","CalCurCEAS_022","7518.241028000600.wav","",987,6
"231","CalCurCEAS_022","7518.241029000001.wav","",230,6
"232","CalCurCEAS_022","7518.241029000601.wav","",299,6
"236","CalCurCEAS_022","7518.241029003001.wav","",214,6.8
"237","CalCurCEAS_022","7518.241029003601.wav","",418,6.8
"238","CalCurCEAS_022","7518.241029004201.wav","",360,7.6
"239","CalCurCEAS_022","7518.241029004801.wav","",336,7.2
"240","CalCurCEAS_022","7518.241029005401.wav","",457,7
"241","CalCurCEAS_022","7518.241029010001.wav","",374,7.2
"242","CalCurCEAS_022","7518.241029010601.wav","",395,8
"243","CalCurCEAS_022","7518.241029011201.wav","",351,7.2
"244","CalCurCEAS_022","7518.241029011801.wav","",346,7.6
"245","CalCurCEAS_022","7518.241029012401.wav","",300,6.4
"291","CalCurCEAS_022","7518.241029060001.wav","",273,6
"335","CalCurCEAS_022","7518.241029104801.wav","",317,6
"515","CalCurCEAS_022","7518.241030065401.wav","",539,8
"516","CalCurCEAS_022","7518.241030070001.wav","",1329,7.6
"517","CalCurCEAS_022","7518.241030070601.wav","",1666,8.4
"518","CalCurCEAS_022","7518.241030071201.wav","",1464,8.8
"519","CalCurCEAS_022","7518.241030071801.wav","",1694,9.6
"520","CalCurCEAS_022","7518.241030072401.wav","",3274,9.6
"521","CalCurCEAS_022","7518.241030073001.wav","",5809,9.6
"522","CalCurCEAS_022","7518.241030073601.wav","",7509,10
"523","CalCurCEAS_022","7518.241030074201.wav","",6213,10
"524","CalCurCEAS_022","7518.241030074801.wav","",2556,10
"525","CalCurCEAS_022","7518.241030075401.wav","",3042,10.4
"526","CalCurCEAS_022","7518.241030080001.wav","",6505,8.4
"527","CalCurCEAS_022","7518.241030080601.wav","",5737,8
"528","CalCurCEAS_022","7518.241030081201.wav","",4936,6.8
"529","CalCurCEAS_022","7518.241030081801.wav","",6427,6.8
"532","CalCurCEAS_022","7518.241030083601.wav","",4655,6
"533","CalCurCEAS_022","7518.241030084201.wav","",4231,6
"534","CalCurCEAS_022","7518.241030084801.wav","",2327,6
"535","CalCurCEAS_022","7518.241030085401.wav","",975,6
"713","CalCurCEAS_022","7518.241031024201.wav","",946,7.2
"714","CalCurCEAS_022","7518.241031024801.wav","",1140,7.6
"715","CalCurCEAS_022","7518.241031025401.wav","",1570,8.4
"716","CalCurCEAS_022","7518.241031030001.wav","",1852,8.4
"717","CalCurCEAS_022","7518.241031030601.wav","",1603,7.2
"718","CalCurCEAS_022","7518.241031031201.wav","",381,7.2
