"","drift","id","species","numClicks","medPeakFrq"
"1","CalCurCEAS_015","6663.241005143000.wav","",2193,6.8
"2","CalCurCEAS_015","6663.241005143600.wav","",992,6
"3","CalCurCEAS_015","6663.241005144200.wav","",679,6
"4","CalCurCEAS_015","6663.241005144800.wav","",557,8
"5","CalCurCEAS_015","6663.241005145400.wav","",204,8.8
"6","CalCurCEAS_015","6663.241005150000.wav","",616,6.8
"7","CalCurCEAS_015","6663.241005150600.wav","",1823,6.8
"8","CalCurCEAS_015","6663.241005151200.wav","",1880,6.4
"9","CalCurCEAS_015","6663.241005151800.wav","",1468,6
"10","CalCurCEAS_015","6663.241005152400.wav","",1396,6.4
"1385","CalCurCEAS_015","6663.241011140001.wav","",468,9.6
"1386","CalCurCEAS_015","6663.241011140601.wav","",851,6.4
"1387","CalCurCEAS_015","6663.241011141201.wav","",742,6
"1388","CalCurCEAS_015","6663.241011141801.wav","",634,6.4
"1389","CalCurCEAS_015","6663.241011142401.wav","",487,6
"1390","CalCurCEAS_015","6663.241011143001.wav","",1972,7.2
"1391","CalCurCEAS_015","6663.241011143601.wav","",1655,6
