"","drift","id","species","numClicks","medPeakFrq"
"46","CalCurCEAS_018","7930.241007043600.wav","",253,6
"49","CalCurCEAS_018","7930.241007045400.wav","",347,6
"50","CalCurCEAS_018","7930.241007050000.wav","",1297,6
"67","CalCurCEAS_018","7930.241007064200.wav","",304,7.2
"68","CalCurCEAS_018","7930.241007064800.wav","",497,6
"69","CalCurCEAS_018","7930.241007065400.wav","",296,6
"70","CalCurCEAS_018","7930.241007070000.wav","",294,6
"71","CalCurCEAS_018","7930.241007070600.wav","",522,6
"74","CalCurCEAS_018","7930.241007072400.wav","",851,6
"76","CalCurCEAS_018","7930.241007073600.wav","",226,6
"78","CalCurCEAS_018","7930.241007074800.wav","",226,7.2
"79","CalCurCEAS_018","7930.241007075400.wav","",463,6.4
"84","CalCurCEAS_018","7930.241007082400.wav","",588,6
"96","CalCurCEAS_018","7930.241007093600.wav","",219,6.8
"107","CalCurCEAS_018","7930.241007104200.wav","",213,6
"109","CalCurCEAS_018","7930.241007105400.wav","",284,6
"116","CalCurCEAS_018","7930.241007113600.wav","",403,6.4
"117","CalCurCEAS_018","7930.241007114200.wav","",744,6
"118","CalCurCEAS_018","7930.241007114800.wav","",357,6
"181","CalCurCEAS_018","7930.241007182400.wav","",232,14
"182","CalCurCEAS_018","7930.241007183000.wav","",254,12.2
"185","CalCurCEAS_018","7930.241007184800.wav","",347,12.4
"186","CalCurCEAS_018","7930.241007185400.wav","",419,9
"187","CalCurCEAS_018","7930.241007190000.wav","",323,11
"212","CalCurCEAS_018","7930.241007213000.wav","",430,9.6
"214","CalCurCEAS_018","7930.241007214200.wav","",332,8.8
"215","CalCurCEAS_018","7930.241007214800.wav","",493,8
"216","CalCurCEAS_018","7930.241007215400.wav","",432,8.4
"217","CalCurCEAS_018","7930.241007220000.wav","",385,8.4
"218","CalCurCEAS_018","7930.241007220600.wav","",264,9.2
"219","CalCurCEAS_018","7930.241007221200.wav","",289,9
"273","CalCurCEAS_018","7930.241008033600.wav","",686,6.4
"274","CalCurCEAS_018","7930.241008034200.wav","",846,6.8
"275","CalCurCEAS_018","7930.241008034800.wav","",397,6.8
"317","CalCurCEAS_018","7930.241008080600.wav","",595,6
"333","CalCurCEAS_018","7930.241008094200.wav","",401,6
"461","CalCurCEAS_018","7930.241008233000.wav","",210,9.6
"488","CalCurCEAS_018","7930.241009021800.wav","",205,15.2
"489","CalCurCEAS_018","7930.241009022400.wav","",239,14
"490","CalCurCEAS_018","7930.241009023000.wav","",566,10.4
"491","CalCurCEAS_018","7930.241009023600.wav","",407,9.2
"493","CalCurCEAS_018","7930.241009024800.wav","",547,6
"494","CalCurCEAS_018","7930.241009025400.wav","",420,6
"497","CalCurCEAS_018","7930.241009031200.wav","",260,6
"498","CalCurCEAS_018","7930.241009031800.wav","",216,6.4
"635","CalCurCEAS_018","7930.241009174201.wav","",221,10.8
"1120","CalCurCEAS_018","7930.241011213601.wav","",898,6.4
