"","drift","id","species","numClicks","medPeakFrq"
"63","CalCurCEAS_025","7517.241120225401.wav","",234,7.2
"312","CalCurCEAS_025","7517.241122001802.wav","",283,7.2
"313","CalCurCEAS_025","7517.241122002402.wav","",402,6.4
"314","CalCurCEAS_025","7517.241122003002.wav","",304,6.8
"315","CalCurCEAS_025","7517.241122003602.wav","",451,7.6
"316","CalCurCEAS_025","7517.241122004202.wav","",542,7.2
"317","CalCurCEAS_025","7517.241122004802.wav","",528,6.8
"318","CalCurCEAS_025","7517.241122005402.wav","",568,7.2
"319","CalCurCEAS_025","7517.241122010002.wav","",413,7.2
"320","CalCurCEAS_025","7517.241122010602.wav","",274,7.2
"323","CalCurCEAS_025","7517.241122012402.wav","",878,6.8
"324","CalCurCEAS_025","7517.241122013002.wav","",1712,6.8
"325","CalCurCEAS_025","7517.241122013602.wav","",962,7.6
"326","CalCurCEAS_025","7517.241122014202.wav","",465,8.4
"327","CalCurCEAS_025","7517.241122014802.wav","",502,8.4
"330","CalCurCEAS_025","7517.241122020602.wav","",294,6.8
"366","CalCurCEAS_025","7517.241122054202.wav","",328,10.4
"409","CalCurCEAS_025","7517.241122100002.wav","",243,6
"544","CalCurCEAS_025","7517.241122234202.wav","",209,14.6
"595","CalCurCEAS_025","7517.241123044802.wav","",2454,6
"596","CalCurCEAS_025","7517.241123045402.wav","",878,6.4
"643","CalCurCEAS_025","7517.241123093602.wav","",244,6
"674","CalCurCEAS_025","7517.241123130602.wav","",375,8
"675","CalCurCEAS_025","7517.241123131202.wav","",1822,8
"676","CalCurCEAS_025","7517.241123131802.wav","",5139,8.4
"677","CalCurCEAS_025","7517.241123132402.wav","",6909,8.4
"678","CalCurCEAS_025","7517.241123133002.wav","",7926,8.4
"679","CalCurCEAS_025","7517.241123133602.wav","",8961,8.4
"680","CalCurCEAS_025","7517.241123134202.wav","",9457,8.4
"681","CalCurCEAS_025","7517.241123134802.wav","",10806,8
"682","CalCurCEAS_025","7517.241123135402.wav","",10834,8
"683","CalCurCEAS_025","7517.241123140002.wav","",10470,8
"684","CalCurCEAS_025","7517.241123140602.wav","",10900,6.8
"685","CalCurCEAS_025","7517.241123141202.wav","",9438,6
"686","CalCurCEAS_025","7517.241123141802.wav","",8005,7.2
"687","CalCurCEAS_025","7517.241123142402.wav","",5882,6.8
"688","CalCurCEAS_025","7517.241123143002.wav","",11537,6
"689","CalCurCEAS_025","7517.241123143602.wav","",11005,6
"690","CalCurCEAS_025","7517.241123144202.wav","",9361,6
"779","CalCurCEAS_025","7517.241123233602.wav","",262,7.2
"781","CalCurCEAS_025","7517.241123234802.wav","",515,7.2
"782","CalCurCEAS_025","7517.241123235402.wav","",893,6.8
"783","CalCurCEAS_025","7517.241124000002.wav","",917,6.8
"784","CalCurCEAS_025","7517.241124000602.wav","",449,6.8
"785","CalCurCEAS_025","7517.241124001202.wav","",489,6.8
"786","CalCurCEAS_025","7517.241124001802.wav","",289,7.2
"787","CalCurCEAS_025","7517.241124002402.wav","",242,7.6
"788","CalCurCEAS_025","7517.241124003002.wav","",308,8.4
"789","CalCurCEAS_025","7517.241124003602.wav","",632,7.6
"790","CalCurCEAS_025","7517.241124004202.wav","",803,7.6
"791","CalCurCEAS_025","7517.241124004802.wav","",696,7.6
"792","CalCurCEAS_025","7517.241124005402.wav","",1363,7.6
"793","CalCurCEAS_025","7517.241124010002.wav","",1504,6.8
"794","CalCurCEAS_025","7517.241124010602.wav","",2813,6.8
"795","CalCurCEAS_025","7517.241124011202.wav","",3656,7.2
"796","CalCurCEAS_025","7517.241124011802.wav","",4781,7.2
"797","CalCurCEAS_025","7517.241124012402.wav","",4446,6.8
"798","CalCurCEAS_025","7517.241124013002.wav","",3827,8
"799","CalCurCEAS_025","7517.241124013602.wav","",2876,7.6
