"","drift","id","species","numClicks","medPeakFrq"
"640","CalCurCEAS_010","6663.240917161202.wav","",236,6.8
"641","CalCurCEAS_010","6663.240917161802.wav","",236,7
"642","CalCurCEAS_010","6663.240917162402.wav","",231,6.4
"643","CalCurCEAS_010","6663.240917163002.wav","",334,6
"644","CalCurCEAS_010","6663.240917163602.wav","",219,6
"659","CalCurCEAS_010","6663.240917180602.wav","",208,7.2
"660","CalCurCEAS_010","6663.240917181202.wav","",246,6.4
"686","CalCurCEAS_010","6663.240917204802.wav","",257,17.4
"687","CalCurCEAS_010","6663.240917205402.wav","",420,7.6
"862","CalCurCEAS_010","6663.240918143002.wav","",211,12.4
"863","CalCurCEAS_010","6663.240918143602.wav","",277,11.6
"864","CalCurCEAS_010","6663.240918144202.wav","",200,9.2
"1358","CalCurCEAS_010","6663.240920160603.wav","",694,6.4
"1359","CalCurCEAS_010","6663.240920161203.wav","",533,6.8
"1360","CalCurCEAS_010","6663.240920161803.wav","",588,6.4
"1361","CalCurCEAS_010","6663.240920162403.wav","",567,6.8
"1362","CalCurCEAS_010","6663.240920163003.wav","",693,6.8
"1363","CalCurCEAS_010","6663.240920163603.wav","",347,7.2
"1364","CalCurCEAS_010","6663.240920164203.wav","",915,7.6
"1365","CalCurCEAS_010","6663.240920164803.wav","",930,6.8
"1366","CalCurCEAS_010","6663.240920165403.wav","",432,8
"1369","CalCurCEAS_010","6663.240920171203.wav","",720,7.6
"1370","CalCurCEAS_010","6663.240920171803.wav","",1427,8
"1371","CalCurCEAS_010","6663.240920172403.wav","",1052,8
"1372","CalCurCEAS_010","6663.240920173003.wav","",956,8
"1373","CalCurCEAS_010","6663.240920173603.wav","",808,9.2
"1374","CalCurCEAS_010","6663.240920174203.wav","",841,8.8
"1375","CalCurCEAS_010","6663.240920174803.wav","",847,9.2
"1376","CalCurCEAS_010","6663.240920175403.wav","",872,7.6
"1379","CalCurCEAS_010","6663.240920181203.wav","",209,7.2
"1380","CalCurCEAS_010","6663.240920181803.wav","",662,7.6
"1381","CalCurCEAS_010","6663.240920182403.wav","",688,8.8
"1382","CalCurCEAS_010","6663.240920183003.wav","",593,7.2
"1383","CalCurCEAS_010","6663.240920183603.wav","",534,7.2
"1384","CalCurCEAS_010","6663.240920184203.wav","",493,6.8
"1385","CalCurCEAS_010","6663.240920184803.wav","",503,8
"1386","CalCurCEAS_010","6663.240920185403.wav","",274,7
"1391","CalCurCEAS_010","6663.240920192403.wav","",413,6.4
"1392","CalCurCEAS_010","6663.240920193003.wav","",251,6.8
"2030","CalCurCEAS_010","6663.240923111336.wav","",207,6.4
"2031","CalCurCEAS_010","6663.240923111936.wav","",226,6.4
"2036","CalCurCEAS_010","6663.240923114936.wav","",249,6.2
"2037","CalCurCEAS_010","6663.240923115536.wav","",350,7.6
"2054","CalCurCEAS_010","6663.240923133736.wav","",393,8
"2056","CalCurCEAS_010","6663.240923134936.wav","",239,7.6
"2057","CalCurCEAS_010","6663.240923135536.wav","",421,8
"2058","CalCurCEAS_010","6663.240923140136.wav","",874,7
"2059","CalCurCEAS_010","6663.240923140737.wav","",1622,7.6
"2060","CalCurCEAS_010","6663.240923141337.wav","",1352,8.4
"2061","CalCurCEAS_010","6663.240923141937.wav","",1174,8
"2062","CalCurCEAS_010","6663.240923142537.wav","",1869,8
"2063","CalCurCEAS_010","6663.240923143137.wav","",2440,8
"2064","CalCurCEAS_010","6663.240923143737.wav","",3494,8
"2065","CalCurCEAS_010","6663.240923144337.wav","",3679,8
"2066","CalCurCEAS_010","6663.240923144937.wav","",3838,8.4
"2067","CalCurCEAS_010","6663.240923145537.wav","",4160,8
"2068","CalCurCEAS_010","6663.240923150137.wav","",3606,7.6
"2069","CalCurCEAS_010","6663.240923150737.wav","",3768,7.6
"2070","CalCurCEAS_010","6663.240923151337.wav","",5214,8
"2071","CalCurCEAS_010","6663.240923151937.wav","",5086,7.2
"2072","CalCurCEAS_010","6663.240923152537.wav","",5745,7.2
"2073","CalCurCEAS_010","6663.240923153137.wav","",6193,7.6
"2074","CalCurCEAS_010","6663.240923153737.wav","",6632,7.6
"2075","CalCurCEAS_010","6663.240923154337.wav","",6722,7.2
"2076","CalCurCEAS_010","6663.240923154937.wav","",7095,6.8
"2077","CalCurCEAS_010","6663.240923155537.wav","",6921,6.4
"2078","CalCurCEAS_010","6663.240923160137.wav","",7348,6.4
"2079","CalCurCEAS_010","6663.240923160737.wav","",7373,6.8
"2080","CalCurCEAS_010","6663.240923161337.wav","",7663,6.4
"2081","CalCurCEAS_010","6663.240923161937.wav","",7751,6.4
"2082","CalCurCEAS_010","6663.240923162537.wav","",6176,6
"2084","CalCurCEAS_010","6663.240923163737.wav","",5627,6
"2085","CalCurCEAS_010","6663.240923164337.wav","",5922,6.4
"2086","CalCurCEAS_010","6663.240923164937.wav","",7125,6
"2098","CalCurCEAS_010","6663.240923180137.wav","",597,6
"2103","CalCurCEAS_010","6663.240923183137.wav","",391,7
"2104","CalCurCEAS_010","6663.240923183737.wav","",219,7.6
"2105","CalCurCEAS_010","6663.240923184337.wav","",215,8.8
"2106","CalCurCEAS_010","6663.240923184937.wav","",455,8
"2107","CalCurCEAS_010","6663.240923185537.wav","",231,6.8
"2108","CalCurCEAS_010","6663.240923190137.wav","",295,6
"2109","CalCurCEAS_010","6663.240923190737.wav","",310,7.2
"2110","CalCurCEAS_010","6663.240923191337.wav","",276,8
"2112","CalCurCEAS_010","6663.240923192537.wav","",560,7.6
"2114","CalCurCEAS_010","6663.240923193737.wav","",524,7.2
"2115","CalCurCEAS_010","6663.240923194337.wav","",930,6.4
"2116","CalCurCEAS_010","6663.240923194937.wav","",674,6.8
"2117","CalCurCEAS_010","6663.240923195537.wav","",728,7.6
"2118","CalCurCEAS_010","6663.240923200137.wav","",691,6.8
"2119","CalCurCEAS_010","6663.240923200737.wav","",678,6.4
"2120","CalCurCEAS_010","6663.240923201337.wav","",592,7.6
"2123","CalCurCEAS_010","6663.240923203137.wav","",1493,6.4
"2124","CalCurCEAS_010","6663.240923203737.wav","",1352,7.6
"2125","CalCurCEAS_010","6663.240923204337.wav","",1392,6.4
"2127","CalCurCEAS_010","6663.240923205537.wav","",872,6
"2130","CalCurCEAS_010","6663.240923211337.wav","",636,6.4
"2131","CalCurCEAS_010","6663.240923211937.wav","",826,6.4
"2132","CalCurCEAS_010","6663.240923212537.wav","",614,6
"2133","CalCurCEAS_010","6663.240923213137.wav","",802,6.4
"2134","CalCurCEAS_010","6663.240923213737.wav","",1216,6
"2135","CalCurCEAS_010","6663.240923214337.wav","",1173,6
"2140","CalCurCEAS_010","6663.240923221337.wav","",565,6
